fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12312003,MLM.N,444.342,385.8872756,0.039359228,1189.378,2298.250508
12312004,MLM.N,439.104,389.887128,0.037362829,1202.425,2576.956893
12312005,MLM.N,495.198,393.953414,0.037083082,1259.631,3557.006723
12312006,MLM.N,531.833,409.1011067,0.037507316,1252.449,4690.972477
12312007,MLM.N,616.77,433.606179,0.036847442,1737.814,5550.593966
12312008,MLM.N,572.604,440.2876041,0.038479739,1965.242,4021.573852
12312009,MLM.N,527.704,421.5903554,0.040076448,1832.872,3984.501842
12312010,MLM.N,468.67,410.0584063,0.042602354,1606.484,4199.554928
12312011,MLM.N,443.972,395.0217303,0.035751325,1698.958,3445.991163
12312012,MLM.N,414.426,400.8333013,0.031180965,1710.627,4328.335686
12312013,MLM.N,512.509,411.612093,0.031732909,1684.907,4622.080986
12312014,MLM.N,632.207,457.5660795,0.028358504,2867.006,7421.232468
12312015,MLM.N,867.672,500.5062347,0.026329159,2897.434,9033.477685
12312016,MLM.N,1008.336,534.6405331,0.025860942,3158.315,14059.66064
12312017,MLM.N,1011.5,557.5369488,0.021229698,4310,13894.47515
12311998,NEM.N,504.14,552.0777797,0.047503767,1703.086,3051.694409
12311999,NEM.N,604.674,632.0979569,0.047153032,1805.377,4106.374832
12312000,NEM.N,745.021,720.8392041,0.05104455,2225.409,2869.927754
12312001,NEM.N,536.378,784.0565135,0.044368103,2379.074,3746.228468
12312002,NEM.N,937.619,954.076761,0.031485805,4373.59,10229.19378
12312003,NEM.N,937,1049.256096,0.041460194,2966.701,17801.26812
12312004,NEM.N,1770,1117.302959,0.023873985,4063,18113.15382
12312005,NEM.N,1460,1244.011091,0.020704376,4685,23858.34976
12312006,NEM.N,1485,1426.369932,0.018776616,5166,19074.07984
12312007,NEM.N,953,1612.638877,0.017876079,6601,21225.11853
12312008,NEM.N,1714,1925.383906,0.019105576,7066,17967.036
12312009,NEM.N,3285,2046.519187,0.012389015,9686,22727.99012
12312010,NEM.N,3689,2462.354321,0.028048658,9947,29867.13577
12312011,NEM.N,4146,2765.648,0.020849355,11703,29297.73834
12312012,NEM.N,2929,3059.66895,0.019603212,12702,22826.93597
12312013,NEM.N,2130,3429.26513,0.025901864,11698,11355.15096
12312014,NEM.N,2217,3936.942343,0.027902258,11827,9427.237615
12312015,NEM.N,2690,4456.953488,0.02740358,10838,9518.823897
12312016,NEM.N,2958,4848.399945,0.029813258,9157,18082.65502
12311998,NUE.N,799.874,843.0343012,0.011473192,871.597,3771.87575
12311999,NUE.N,780.124,894.2003275,0.017287856,1186.729,4780.252938
12312000,NUE.N,1026.379,960.0568414,0.017557869,1278.572,3090.350769
12312001,NUE.N,667.81,964.4024809,0.017291195,1274.001,4119.474852
12312002,NUE.N,695.726,1029.332967,0.012446256,1841.357,3228.572819
12312003,NUE.N,692.175,1070.252306,0.016728358,1972.997,4384.269232
12312004,NUE.N,1431.886,1322.088001,0.012184528,2659.11,8326.7706
