fyear,ticker,firmname,industry,sector,statevariable,cash,fixedcosts,couponrate,liabilities,equityobserved
12312015,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,6599,133.8,5944.479358,0.021755722,11661.3,33776.81536
12312016,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,6510.9,347.4,6079.885732,0.025124788,11359.3,34175.72439
12312017,ECL.N,Ecolab Inc,Specialty Chemicals,Basic Materials,6953.9,237.6,6554.540506,0.022373042,12273.7,38766.52144
12311998,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,759.7,61.7,492.3142677,0.034606808,3363.5,2041.872
12311999,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,833.7,64,498.2951792,0.037024329,3206,1740.213252
12312000,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,555.2,7.3,445.3844291,0.045873217,2214.8,2183.969222
12312001,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,157.6,23.4,441.0990526,0.035733647,2213.6,1857.498965
12312002,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,286.9,89.6,422.3570263,0.030150339,2421.2,958.557798
12312003,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,535.4,57,466.9773199,0.044658334,2192.2,1204.424628
12312004,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,548.9,212.4,477.6799509,0.040661109,2051.1,1788.497802
12312005,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,558.8,206.4,488.9860432,0.04129077,1729.2,2018.762176
12312006,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,593.2,165.5,484.5178874,0.026503141,1671.5,2936.962005
12312007,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,622.1,75.5,516.3990058,0.023095549,1610.7,4098.308825
12312008,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,682.2,52.4,547.5542202,0.01864365,2027.5,3243.370466
12312009,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,651,76.6,532.0097238,0.013578953,2003.1,4043.652749
12312010,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,805.2,161.5,643.293157,0.018538508,2130.7,5711.004077
12312011,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,823.4,158.9,645.3336873,0.014880708,2439.4,6059.195694
12312012,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,890.2,77.1,744.9620935,0.014472704,2819.1,8056.470521
12312013,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,886.9,123.2,784.510855,0.011574896,3663.1,10027.55409
12312014,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,922.7,109.5,787.8142458,0.015629984,3762,7603.106777
12312015,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,289.5,78.6,899.2084332,0.018426295,4417.6,5229.950554
12312016,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,1037.9,64.2,806.0315829,0.019680197,4146.3,7569.922245
12312017,FMC.N,FMC Corp,Diversified Chemicals,Basic Materials,1052.9,283,998.0239691,0.015201871,6499.2,12709.22028
12311998,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,818.606,5.877,799.3578803,0.063914786,3942.734,701.7752908
12311999,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,869.157,6.698,846.3255024,0.062025342,3704.115,2085.840292
12312000,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,829.803,7.968,962.342252,0.063752177,3809.015,780.8518274
12312001,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,778.529,7.587,1039.995996,0.052340872,4014.53,1185.203786
12312002,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,789.85,7.836,1192.366984,0.055013331,3795.68,2431.323132
12312003,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,876.809,463.652,1391.99861,0.059778583,3754.823,7200.426082
12312004,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,624.876,551.45,1575.123426,0.052267638,3703.898,6825.146275
12312005,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,1848.569,763.599,1830.371218,0.055145469,3484.221,9901.618956
12312006,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,2159.581,907,2115.870661,0.049812225,2732,10974.77587
12312007,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,7412,1626,3352.275923,0.034028695,21188,39124.04164
12312008,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,4497,872,3699.21961,0.052793502,16252,9395.858896
12312009,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,5526,2656,4184.64462,0.053021852,15239,34514.87266
12312010,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,7179,3738,4535.924912,0.035410765,14826,56547.89586
12312011,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,7347,4822,5039.135901,0.023082045,13517,34873.64911
12312012,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,4391,3705,5739.562169,0.013164414,14129,32466.70412
12312013,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,7197,1985,7143.300597,0.013803763,37526,39179.97563
12312014,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,6848,464,8445.976855,0.017969477,35449,24273.79991
12312015,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,4395,177,9762.596543,0.018271195,33769,7825.241342
12312016,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,5091,4245,11563.5563,0.026906629,28060,17960.66874
12312017,FCX.N,Freeport-McMoRan Inc,Diversified Mining,Basic Materials,5971,4447,13407.84495,0.030954395,26006,27446.31907
12312004,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,250.8,10.2,312.5836017,0.028613425,1020.5,1890.407942
12312005,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,667.6,245,563.9452769,0.024363085,5208.7,5660.306138
12312006,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,698.4,173.3,707.6373936,0.034356018,5169.4,9356.847965
12312007,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1189.2,420.6,843.7037997,0.034594747,4957.4,41682.31116
12312008,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,2994.4,1960.7,902.6649291,0.024480771,5065.2,15375.39095
12312009,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1654.6,2703.2,982.9159337,0.021773612,4161,26576.20504
12312010,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1782,2922.6,1142.575367,0.016593842,3959.3,34067.86319
12312011,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,2842.3,3906.4,1314.997312,0.010448485,4125,21453.50068
12312012,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,3136.9,3811,1559.963149,0.004476657,4691,24106.85268
12312013,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1124,5405,1651.473268,0.002769208,8233.4,20137.30059
12312014,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,2633.4,2374.6,2289.664242,0.017044853,7562.4,16778.21387
12312015,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,2522.1,1276.3,2715.883453,0.017074573,7824.5,9725.895913
12312016,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1705,673.1,3246.361358,0.01947854,7218.2,10272.49664
12312017,MOS.N,Mosaic Co,Agricultural Chemicals,Basic Materials,1408.1,2153.5,3988.931808,0.019045395,8994.3,9007.933993
12311998,IP.N,International Paper Co,Paper Packaging,Basic Materials,6214,533,4636.173441,0.040298822,19008,13771.16415
12311999,IP.N,International Paper Co,Paper Packaging,Basic Materials,5749,453,4598.820324,0.033400424,18383,23369.56217
12312000,IP.N,International Paper Co,Paper Packaging,Basic Materials,7558,1198,5769.855775,0.050626741,28720,19645.91553
12312001,IP.N,International Paper Co,Paper Packaging,Basic Materials,6450,1224,5448.98779,0.0424427,25611,19447.09064
12312002,IP.N,International Paper Co,Paper Packaging,Basic Materials,6255,1074,4953.002827,0.036204894,24969,16774.37026
12312003,IP.N,International Paper Co,Paper Packaging,Basic Materials,5705,2363,4762.774502,0.031403413,25666,20712.93966
12312004,IP.N,International Paper Co,Paper Packaging,Basic Materials,6183,2180,4772.273248,0.029990301,25775,20436.67403
12312005,IP.N,International Paper Co,Paper Packaging,Basic Materials,5351,1641,4926.577041,0.040474426,20235,16485.65603
12312006,IP.N,International Paper Co,Paper Packaging,Basic Materials,5607,1624,5589.883323,0.078572329,15858,15514.45882
12312007,IP.N,International Paper Co,Paper Packaging,Basic Materials,5373,905,4825.52224,0.029621863,15259,13863.09695
12312008,IP.N,International Paper Co,Paper Packaging,Basic Materials,6681,1144,5499.971345,0.02651919,22512,5044.854366
12312009,IP.N,International Paper Co,Paper Packaging,Basic Materials,8751,1892,5748.871941,0.036386254,19293,11598.27786
12312010,IP.N,International Paper Co,Paper Packaging,Basic Materials,5728,2073,5933.047221,0.035933056,18284,11916.30751
12312011,IP.N,International Paper Co,Paper Packaging,Basic Materials,6727,3994,6091.52243,0.031398193,20033,12937.29337
12312012,IP.N,International Paper Co,Paper Packaging,Basic Materials,7012,1302,6310.547256,0.029078653,25517,17495.54206
12312013,IP.N,International Paper Co,Paper Packaging,Basic Materials,7336,1802,6824.620701,0.032537585,23081,21750.85212
12312014,IP.N,International Paper Co,Paper Packaging,Basic Materials,7289,1881,7007.518715,0.030656249,23421,22697.2296
12312015,IP.N,International Paper Co,Paper Packaging,Basic Materials,6205,1050,6730.324884,0.025542784,26622,15629.17296
12312016,IP.N,International Paper Co,Paper Packaging,Basic Materials,6020,1033,6991.464524,0.024187374,28734,21818.98364
12312017,IP.N,International Paper Co,Paper Packaging,Basic Materials,5795,1018,7869.742554,0.028579782,27362,23924.30049
12311998,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,328.373,14.586,330.0474761,0.025800041,920.89,2896.392389
12311999,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,355.708,3.403,355.1617491,0.040689967,968.568,1915.315
12312000,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,354.309,0,363.4465933,0.043613831,978.153,1978.197697
12312001,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,404.339,1.379,372.3069808,0.039487079,1202.368,2261.155443
12312002,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,363.942,14.498,380.1918841,0.039564107,1190.018,1496.858759
12312003,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,444.342,125.133,385.8872756,0.039359228,1189.378,2298.250508
12312004,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,439.104,161.62,389.887128,0.037362829,1202.425,2576.956893
12312005,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,495.198,101.745,393.953414,0.037083082,1259.631,3557.006723
12312006,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,531.833,32.282,409.1011067,0.037507316,1252.449,4690.972477
12312007,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,616.77,20.038,433.606179,0.036847442,1737.814,5550.593966
12312008,MLM.N,Martin Marietta Materials Inc,Construction Materials,Basic Materials,572.604,37.794,440.2876041,0.038479739,1965.242,4021.573852
